course_id,course_name,competency,category,level,delivery_mode,duration_hours,duration_weeks,max_participants,resource_types,prerequisites,certification_offered,start_date,end_date,status,num_qualified_trainers,primary_trainer_id,num_recommended_trainees,total_enrolled,completion_rate_percent,average_course_rating,average_assessment_pass_rate_percent,description
C1015,Foundations of Doppler Radar Operations,Doppler radar operations,Doppler Radar Operations,Beginner,Offline,32,4,30,quiz; simulation; lab exercise,,False,2026-06-13,2026-07-11,completed,5,TRN20260213,5,5,69.3,3.4,98.2,"Foundations of Doppler Radar Operations equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1016,Practical Lab: Doppler Radar Operations,Doppler radar operations,Doppler Radar Operations,Advanced,Hybrid,24,3,40,video; simulation; field exercise; PDF; live webinar,Basic understanding of Doppler radar operations,False,2026-04-12,2026-05-03,completed,5,TRN20260213,5,24,70.7,4.8,97.9,Practical Lab: Doppler Radar Operations equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.
C1018,Doppler Radar Operations Certification Program,Doppler radar operations,Doppler Radar Operations,Intermediate,Offline,12,2,20,video; field exercise; lab exercise; PDF,Basic understanding of Doppler radar operations,False,2026-04-27,2026-05-11,completed,5,TRN20260213,4,12,56.0,3.5,72.8,"Doppler Radar Operations Certification Program equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1019,Doppler Radar Operations: Tools and Applications,Doppler radar operations,Doppler Radar Operations,Advanced,Hybrid,16,2,50,live webinar; video; field exercise; case study,Basic understanding of Doppler radar operations,True,2026-12-09,2026-12-23,upcoming,5,TRN20260213,4,27,86.3,3.7,83.6,Doppler Radar Operations: Tools and Applications equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.
C102,Weather Observation & Data Quality,Weather observation,Weather Observation,Beginner,Online,40,5,50,case study; live webinar; quiz; PDF,,True,2026-07-25,2026-08-29,completed,5,TRN20260108,3,46,55.8,4.7,84.1,"Weather Observation & Data Quality equips IMD personnel with the knowledge and skills required for standard surface and upper-air weather observation practices and data quality control. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Weather observation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1021,Doppler Radar Operations Essentials,Doppler radar operations,Doppler Radar Operations,Beginner,Offline,24,3,30,field exercise; case study; lab exercise; simulation; PDF,,False,2026-07-08,2026-07-29,completed,5,TRN20260213,4,14,72.5,4.6,71.9,"Doppler Radar Operations Essentials equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1022,Doppler Radar Operations Capstone Project,Doppler radar operations,Doppler Radar Operations,Advanced,Hybrid,40,5,50,live webinar; lab exercise; field exercise; simulation; PDF,Basic understanding of Doppler radar operations,True,2026-04-04,2026-05-09,completed,5,TRN20260213,7,20,83.9,3.6,67.8,Doppler Radar Operations Capstone Project equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.
C1023,Doppler Radar Operations Workshop,Doppler radar operations,Doppler Radar Operations,Beginner,Online,12,2,40,PDF; lab exercise; field exercise; quiz; simulation,,True,2026-04-17,2026-05-01,completed,5,TRN20260213,8,19,62.6,4.8,80.2,"Doppler Radar Operations Workshop equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1025,Foundations of Radar Data Interpretation,Radar data interpretation,Radar Data Interpretation,Beginner,Hybrid,20,2,25,field exercise; lab exercise; video; simulation,,True,2026-04-05,2026-04-19,completed,5,TRN20260097,5,22,56.2,3.9,82.0,"Foundations of Radar Data Interpretation equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1026,Master Class: Radar Data Interpretation,Radar data interpretation,Radar Data Interpretation,Beginner,Online,32,4,40,simulation; PDF; video,,False,2026-05-03,2026-05-31,completed,5,TRN20260097,5,29,67.0,4.8,76.4,"Master Class: Radar Data Interpretation equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1027,Radar Data Interpretation for Decision Makers,Radar data interpretation,Radar Data Interpretation,Intermediate,Offline,8,1,50,live webinar; PDF; simulation,Basic understanding of Radar data interpretation,True,2026-11-20,2026-11-27,upcoming,5,TRN20260097,3,17,91.1,4.3,69.3,"Radar Data Interpretation for Decision Makers equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1028,Applied Radar Data Interpretation,Radar data interpretation,Radar Data Interpretation,Advanced,Hybrid,24,3,25,quiz; field exercise; case study; PDF,Basic understanding of Radar data interpretation,True,2026-07-02,2026-07-23,completed,5,TRN20260097,7,14,79.8,4.7,74.6,"Applied Radar Data Interpretation equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C103,Doppler Radar Operations,Doppler radar operations,Doppler Radar Operations,Beginner,Online,16,2,30,quiz; field exercise; video; lab exercise; live webinar,,True,2026-07-20,2026-08-03,completed,5,TRN20260213,6,6,83.4,4.5,98.4,"Doppler Radar Operations equips IMD personnel with the knowledge and skills required for operating and interpreting Doppler Weather Radar (DWR) systems for real-time precipitation and wind-field monitoring. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Doppler radar operations' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1030,Radar Data Interpretation Workshop,Radar data interpretation,Radar Data Interpretation,Intermediate,Offline,20,2,30,simulation; live webinar; PDF; lab exercise; field exercise,Basic understanding of Radar data interpretation,False,2026-08-12,2026-08-26,completed,5,TRN20260097,8,13,68.9,3.6,96.5,"Radar Data Interpretation Workshop equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1031,Radar Data Interpretation Best Practices,Radar data interpretation,Radar Data Interpretation,Advanced,Hybrid,12,2,40,field exercise; case study; video; lab exercise; simulation,Basic understanding of Radar data interpretation,True,2027-01-01,2027-01-15,upcoming,5,TRN20260097,4,26,67.0,4.2,94.3,"Radar Data Interpretation Best Practices equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1032,Radar Data Interpretation Capstone Project,Radar data interpretation,Radar Data Interpretation,Beginner,Online,24,3,25,lab exercise; live webinar; simulation,,False,2027-01-14,2027-02-04,upcoming,5,TRN20260097,6,7,67.7,3.9,69.5,"Radar Data Interpretation Capstone Project equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1033,Radar Data Interpretation: Case Studies from Indian Meteorology,Radar data interpretation,Radar Data Interpretation,Intermediate,Offline,20,2,50,live webinar; lab exercise; simulation; quiz; case study,Basic understanding of Radar data interpretation,True,2026-06-25,2026-07-09,completed,5,TRN20260097,5,12,86.0,3.7,89.0,"Radar Data Interpretation: Case Studies from Indian Meteorology equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1034,Radar Data Interpretation in Operational Forecasting,Radar data interpretation,Radar Data Interpretation,Advanced,Hybrid,12,2,40,quiz; video; PDF; case study,Basic understanding of Radar data interpretation,True,2026-08-19,2026-09-02,completed,5,TRN20260097,4,39,60.4,3.3,62.1,"Radar Data Interpretation in Operational Forecasting equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1037,Practical Lab: Radar Data Interpretation,Radar data interpretation,Radar Data Interpretation,Advanced,Hybrid,40,5,25,lab exercise; case study; live webinar; video; PDF,Basic understanding of Radar data interpretation,True,2026-04-08,2026-05-13,completed,5,TRN20260097,4,5,72.6,4.4,78.3,"Practical Lab: Radar Data Interpretation equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1038,Specialized Radar Data Interpretation Training,Radar data interpretation,Radar Data Interpretation,Beginner,Online,16,2,30,simulation; video; live webinar; PDF; case study,,False,2027-01-08,2027-01-22,upcoming,5,TRN20260097,8,9,58.1,3.5,72.0,"Specialized Radar Data Interpretation Training equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C104,Radar Data Interpretation,Radar data interpretation,Radar Data Interpretation,Beginner,Online,16,2,40,quiz; PDF; case study,,False,2026-10-21,2026-11-04,upcoming,5,TRN20260097,5,19,71.5,3.5,68.3,"Radar Data Interpretation equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1040,Radar Data Interpretation Essentials,Radar data interpretation,Radar Data Interpretation,Beginner,Hybrid,40,5,30,video; field exercise; PDF; lab exercise; quiz,,True,2026-05-15,2026-06-19,completed,5,TRN20260097,5,7,75.2,3.9,72.5,"Radar Data Interpretation Essentials equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1041,Radar Data Interpretation for New Recruits,Radar data interpretation,Radar Data Interpretation,Beginner,Online,16,2,40,simulation; case study; live webinar; lab exercise; video,,False,2026-11-14,2026-11-28,upcoming,5,TRN20260097,6,37,90.5,3.2,93.9,"Radar Data Interpretation for New Recruits equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1042,Radar Data Interpretation Refresher Course,Radar data interpretation,Radar Data Interpretation,Intermediate,Offline,8,1,25,live webinar; quiz; lab exercise; simulation; video,Basic understanding of Radar data interpretation,True,2026-07-23,2026-07-30,completed,5,TRN20260097,4,19,92.9,4.0,61.1,"Radar Data Interpretation Refresher Course equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1044,Radar Data Interpretation Data Handling and Quality Control,Radar data interpretation,Radar Data Interpretation,Beginner,Online,20,2,25,case study; lab exercise; PDF; quiz,,True,2026-11-28,2026-12-12,upcoming,5,TRN20260097,7,5,67.2,3.7,82.9,"Radar Data Interpretation Data Handling and Quality Control equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1045,Hands-on Radar Data Interpretation,Radar data interpretation,Radar Data Interpretation,Intermediate,Offline,20,2,50,live webinar; case study; quiz; simulation,Basic understanding of Radar data interpretation,False,2026-11-20,2026-12-04,upcoming,5,TRN20260097,6,19,91.8,3.9,72.4,"Hands-on Radar Data Interpretation equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1046,Advanced Radar Data Interpretation Techniques,Radar data interpretation,Radar Data Interpretation,Advanced,Hybrid,20,2,25,video; PDF; quiz; live webinar,Basic understanding of Radar data interpretation,False,2026-11-18,2026-12-02,upcoming,5,TRN20260097,5,9,72.6,4.3,66.0,"Advanced Radar Data Interpretation Techniques equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1047,Radar Data Interpretation Bootcamp,Radar data interpretation,Radar Data Interpretation,Beginner,Online,16,2,50,field exercise; live webinar; video; case study; lab exercise,,True,2026-07-17,2026-07-31,completed,5,TRN20260097,5,9,65.1,4.4,71.2,"Radar Data Interpretation Bootcamp equips IMD personnel with the knowledge and skills required for reading, calibrating and interpreting radar reflectivity and velocity products for operational forecasting. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Radar data interpretation' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1048,Specialized Satellite Data Analysis Training,Satellite data analysis,Satellite Data Analysis,Intermediate,Offline,24,3,30,field exercise; live webinar; case study; lab exercise; simulation,Basic understanding of Satellite data analysis,True,2026-08-21,2026-09-11,completed,5,TRN20260129,4,17,79.6,4.2,98.7,"Specialized Satellite Data Analysis Training equips IMD personnel with the knowledge and skills required for processing and interpreting INSAT and polar-orbiting satellite imagery for weather diagnosis. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Satellite data analysis' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1049,Practical Lab: Satellite Data Analysis,Satellite data analysis,Satellite Data Analysis,Advanced,Hybrid,40,5,40,video; quiz; live webinar; simulation,Basic understanding of Satellite data analysis,False,2026-08-28,2026-10-02,ongoing,5,TRN20260129,7,13,82.0,4.7,85.2,Practical Lab: Satellite Data Analysis equips IMD personnel with the knowledge and skills required for processing and interpreting INSAT and polar-orbiting satellite imagery for weather diagnosis. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Satellite data analysis' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.
C1051,Satellite Data Analysis Data Handling and Quality Control,Satellite data analysis,Satellite Data Analysis,Intermediate,Offline,32,4,30,simulation; video; PDF,Basic understanding of Satellite data analysis,False,2026-09-27,2026-10-25,upcoming,5,TRN20260129,4,30,72.0,3.6,64.8,"Satellite Data Analysis Data Handling and Quality Control equips IMD personnel with the knowledge and skills required for processing and interpreting INSAT and polar-orbiting satellite imagery for weather diagnosis. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Satellite data analysis' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1052,Satellite Data Analysis: Case Studies from Indian Meteorology,Satellite data analysis,Satellite Data Analysis,Advanced,Hybrid,24,3,40,live webinar; video; simulation; PDF; lab exercise,Basic understanding of Satellite data analysis,True,2026-10-18,2026-11-08,upcoming,5,TRN20260129,3,9,82.3,4.0,87.3,Satellite Data Analysis: Case Studies from Indian Meteorology equips IMD personnel with the knowledge and skills required for processing and interpreting INSAT and polar-orbiting satellite imagery for weather diagnosis. This advanced course is designed for experienced officers seeking to master specialized techniques and lead operational deployment. Delivered in a hybrid format combining self-paced online modules with in-person practical sessions. The course maps to the 'Satellite data analysis' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition.
C1053,Satellite Data Analysis Certification Program,Satellite data analysis,Satellite Data Analysis,Beginner,Online,12,2,20,quiz; lab exercise; video,,False,2026-12-24,2027-01-07,upcoming,5,TRN20260129,3,17,74.5,4.3,89.0,"Satellite Data Analysis Certification Program equips IMD personnel with the knowledge and skills required for processing and interpreting INSAT and polar-orbiting satellite imagery for weather diagnosis. This entry-level course builds foundational understanding for officers new to the subject, with no prior experience assumed. Delivered fully online through self-paced modules and live virtual sessions. The course maps to the 'Satellite data analysis' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
C1054,Satellite Data Analysis Capstone Project,Satellite data analysis,Satellite Data Analysis,Intermediate,Offline,24,3,25,PDF; field exercise; lab exercise; quiz,Basic understanding of Satellite data analysis,True,2026-09-22,2026-10-13,upcoming,5,TRN20260129,6,16,59.3,4.4,81.2,"Satellite Data Analysis Capstone Project equips IMD personnel with the knowledge and skills required for processing and interpreting INSAT and polar-orbiting satellite imagery for weather diagnosis. This intermediate course assumes basic familiarity with the subject and deepens practical, applied skills. Delivered as an in-person, station-based training programme with hands-on instruction. The course maps to the 'Satellite data analysis' competency in the Capacity Connect competency framework and includes assessments to validate skill acquisition."
